code,channel,p,n_blocks,frame_errors,fer,fer_ci_lo,fer_ci_hi,bit_errors,total_info_bits,ber,ber_ci_lo,ber_ci_hi,decode_time_total_s,decode_time_per_block_ms,throughput_kbit_s
"galois BCH(15,7)",Burst(<= 8 бит),0.001,100000,54,0.00054,0.0003960088964748169,0.0006839911035251831,165,700000,0.0002357142857142857,0.00019975187367059764,0.0002716766977579738,26.270578374969773,0.2627057837496977,26.645778026225333
"galois BCH(15,7)",Burst(<= 8 бит),0.0018846716378431187,100000,95,0.00095,0.0007590535950587181,0.0011409464049412818,297,700000,0.0004242857142857143,0.0003760416259514945,0.00047252980261993407,26.063196541043,0.26063196541043,26.85779539350346
"galois BCH(15,7)",Burst(<= 8 бит),0.003551987182490267,100000,194,0.00194,0.0016672685248410079,0.0022127314751589923,623,700000,0.00089,0.0008201431967865691,0.0009598568032134308,27.567164709209464,0.27567164709209463,25.39252793618447
"galois BCH(15,7)",Burst(<= 8 бит),0.006694329500821696,100000,396,0.00396,0.003570737960167704,0.004349262039832296,1263,700000,0.0018042857142857142,0.0017048671339941006,0.0019037042945773278,33.389341458911076,0.33389341458911076,20.96477406903697
"galois BCH(15,7)",Burst(<= 8 бит),0.01261661294457514,100000,728,0.00728,0.0067530915701323425,0.0078069084298676575,2347,700000,0.0033528571428571427,0.0032174363696382603,0.003488277916076025,27.11338441609405,0.2711338441609405,25.817507296672698
"galois BCH(15,7)",Burst(<= 8 бит),0.023778172582285134,100000,1415,0.01415,0.013417951741727363,0.014882048258272636,4556,700000,0.006508571428571429,0.006320192660986544,0.0066969501961563135,39.020012916997075,0.39020012916997077,17.939512257185356
"galois BCH(15,7)",Burst(<= 8 бит),0.04481404746557166,100000,2636,0.02636,0.025367048632728473,0.02735295136727153,8431,700000,0.012044285714285714,0.011788741345776448,0.01229983008279498,59.118616541964,0.59118616541964,11.84060184329789
"galois BCH(15,7)",Burst(<= 8 бит),0.08445976423531824,100000,5096,0.05096,0.049596946068633234,0.05232305393136676,16167,700000,0.023095714285714285,0.022743830903266066,0.023447597668162505,77.93160529097077,0.7793160529097076,8.982235094303936
"galois BCH(15,7)",Burst(<= 8 бит),0.15917892219322097,100000,9759,0.09759,0.09575066565626844,0.09942933434373155,30916,700000,0.04416571428571429,0.04368438644466123,0.044647042126767345,75.5387884589145,0.755387884589145,9.266762338672264
"galois BCH(15,7)",Burst(<= 8 бит),0.29999999999999993,100000,18459,0.18459,0.18218537048810624,0.18699462951189377,58244,700000,0.08320571428571429,0.08255869149755547,0.0838527370738731,152.98144337395206,1.5298144337395205,4.575718365324222
